id,lat,lon,label
n1,34.0700433,72.6406952,Node 1
n2,34.0701153,72.6417167,Node 2
n3,34.0688122,72.6394726,Node 3
n4,34.0689186,72.6407982,Node 4
n5,34.0689595,72.6415164,Node 5
n6,34.068981,72.6418924,Node 6
n7,34.0689877,72.6420188,Node 7
n8,34.0689658,72.6421213,Node 8
n9,34.0689289,72.642226,Node 9
n10,34.0684496,72.6430857,Node 10
n11,34.0684424,72.643182,Node 11
n12,34.0686079,72.6442594,Node 12
n13,34.0686227,72.6443276,Node 13
n14,34.0688233,72.6453895,Node 14
n15,34.069133,72.6456368,Node 15
n16,34.0696159,72.6460224,Node 16
n17,34.0700369,72.6463514,Node 17
n18,34.0703653,72.6465939,Node 18
n19,34.0709179,72.6467648,Node 19
n20,34.0710645,72.6468211,Node 20
n21,34.0711453,72.6468655,Node 21
n22,34.0713049,72.6469794,Node 22
n23,34.0715376,72.6473593,Node 23
n24,34.0723135,72.6486262,Node 24
n25,34.0723333,72.6486628,Node 25
n26,34.0726461,72.6493912,Node 26
n27,34.0728577,72.6501811,Node 27
n28,34.0728584,72.6501835,Node 28
n29,34.0730028,72.6507154,Node 29
n30,34.0731516,72.6513636,Node 30
n31,34.0733185,72.6517184,Node 31
n32,34.0735688,72.6520688,Node 32
n33,34.0738627,72.6522308,Node 33
n34,34.0741384,72.6522878,Node 34
n35,34.0744069,72.6522965,Node 35
n36,34.0751433,72.6523535,Node 36
n37,34.0754154,72.6525506,Node 37
n38,34.0756621,72.6530061,Node 38
n39,34.0759668,72.6535492,Node 39
n40,34.0761845,72.653939,Node 40
n41,34.0682004,72.6401,Node 41
n42,34.0682742,72.6408489,Node 42
n43,34.0699227,72.6390693,Node 43
n44,34.067991,72.6443922,Node 44
n45,34.068148,72.6443498,Node 45
n46,34.069301,72.6440625,Node 46
n47,34.0701815,72.646311,Node 47
n48,34.0707249,72.6461531,Node 48
n49,34.0716859,72.6459107,Node 49
n50,34.07186,72.6458275,Node 50
n51,34.0720197,72.6457048,Node 51
n52,34.0721031,72.6455647,Node 52
n53,34.0720971,72.645437,Node 53
n54,34.0719086,72.6443073,Node 54
n55,34.0718999,72.6442551,Node 55
n56,34.0719362,72.6441062,Node 56
n57,34.0724877,72.6434361,Node 57
n58,34.0725856,72.6434361,Node 58
n59,34.0727126,72.6437076,Node 59
n60,34.0728033,72.6437251,Node 60
n61,34.0731465,72.643291,Node 61
n62,34.0733366,72.6430506,Node 62
n63,34.0733402,72.6428535,Node 63
n64,34.0732677,72.6426345,Node 64
n65,34.0731226,72.6425557,Node 65
n66,34.0727489,72.6426258,Node 66
n67,34.0699302,72.6463781,Node 67
n68,34.0700648,72.6471184,Node 68
n69,34.0692011,72.6460579,Node 69
n70,34.0692757,72.6465188,Node 70
n71,34.0693893,72.6470319,Node 71
n72,34.0694546,72.6471283,Node 72
n73,34.0697319,72.6471238,Node 73
n74,34.0703719,72.6471128,Node 74
n75,34.0707555,72.6471057,Node 75
n76,34.0704999,72.6436979,Node 76
n77,34.0709799,72.6435744,Node 77
n78,34.0710133,72.6437635,Node 78
n79,34.070538,72.6438836,Node 79
n80,34.0693173,72.6441549,Node 80
n81,34.0681662,72.6444528,Node 81
n82,34.0680096,72.6444957,Node 82
n83,34.0693083,72.6439456,Node 83
n84,34.0696381,72.6432947,Node 84
n85,34.0696848,72.6432471,Node 85
n86,34.0697259,72.6432243,Node 86
n87,34.0697399,72.6432188,Node 87
n88,34.069777,72.6432042,Node 88
n89,34.069806,72.6431767,Node 89
n90,34.0698259,72.6431505,Node 90
n91,34.0698685,72.6431841,Node 91
n92,34.0700181,72.643306,Node 92
n93,34.0703194,72.6435331,Node 93
n94,34.0704324,72.6436226,Node 94
n95,34.0705157,72.6437554,Node 95
n96,34.0705346,72.6438291,Node 96
n97,34.0705268,72.6439364,Node 97
n98,34.070485,72.6440313,Node 98
n99,34.0702718,72.6444464,Node 99
n100,34.0701837,72.6445906,Node 100
n101,34.0701302,72.6446472,Node 101
n102,34.0700828,72.6446871,Node 102
n103,34.0700083,72.6447029,Node 103
n104,34.0699481,72.6447102,Node 104
n105,34.0698957,72.6446905,Node 105
n106,34.0696637,72.6445399,Node 106
n107,34.069402,72.6443033,Node 107
n108,34.0693504,72.6442301,Node 108
n109,34.07058,72.6440971,Node 109
n110,34.0703783,72.6445099,Node 110
n111,34.069735,72.6417076,Node 111
n112,34.0693284,72.6416097,Node 112
n113,34.0691169,72.6418846,Node 113
n114,34.0690803,72.6423887,Node 114
n115,34.0690729,72.6426852,Node 115
n116,34.0691039,72.6428569,Node 116
n117,34.069444,72.6414245,Node 117
n118,34.0694393,72.641391,Node 118
n119,34.0733081,72.6482111,Node 119
n120,34.073288,72.6486784,Node 120
n121,34.0732225,72.6502009,Node 121
n122,34.0727305,72.6476478,Node 122
n123,34.0726952,72.6486687,Node 123
n124,34.0722471,72.6454681,Node 124
n125,34.0723771,72.6455644,Node 125
n126,34.0724778,72.645766,Node 126
n127,34.0726199,72.6460749,Node 127
n128,34.072681,72.6463623,Node 128
n129,34.0729659,72.6463729,Node 129
n130,34.0717744,72.6471712,Node 130
n131,34.0717568,72.6471338,Node 131
n132,34.0717478,72.6470922,Node 132
n133,34.0717481,72.6470492,Node 133
n134,34.0717576,72.6470077,Node 134
n135,34.0717757,72.6469707,Node 135
n136,34.071801,72.6469405,Node 136
n137,34.071832,72.6469193,Node 137
n138,34.0718665,72.6469085,Node 138
n139,34.0719021,72.6469088,Node 139
n140,34.0719364,72.6469203,Node 140
n141,34.0719671,72.6469421,Node 141
n142,34.0719921,72.6469727,Node 142
n143,34.0720097,72.6470101,Node 143
n144,34.0720186,72.6470517,Node 144
n145,34.0720183,72.6470947,Node 145
n146,34.0720089,72.6471361,Node 146
n147,34.0719908,72.6471732,Node 147
n148,34.0719654,72.6472034,Node 148
n149,34.0719345,72.6472246,Node 149
n150,34.0719,72.6472354,Node 150
n151,34.0718644,72.647235,Node 151
n152,34.0718301,72.6472236,Node 152
n153,34.0717994,72.6472018,Node 153
n154,34.0714189,72.6452494,Node 154
n155,34.0711716,72.6452834,Node 155
n156,34.0711556,72.6452856,Node 156
n157,34.0711134,72.6453352,Node 157
n158,34.0710783,72.6453893,Node 158
n159,34.0707212,72.6460487,Node 159
n160,34.0707157,72.6461063,Node 160
n161,34.0701178,72.6448982,Node 161
n162,34.0701369,72.644953,Node 162
n163,34.0701606,72.6449873,Node 163
n164,34.0701904,72.645041,Node 164
n165,34.0701921,72.6450952,Node 165
n166,34.0701801,72.6451305,Node 166
n167,34.0701581,72.6451592,Node 167
n168,34.0701235,72.6451784,Node 168
n169,34.0700852,72.6451787,Node 169
n170,34.070048,72.6451577,Node 170
n171,34.0700227,72.6451197,Node 171
n172,34.0700138,72.645064,Node 172
n173,34.0700258,72.6450187,Node 173
n174,34.0700393,72.6449779,Node 174
n175,34.0700416,72.6449332,Node 175
n176,34.0700562,72.6418319,Node 176
n177,34.0701106,72.6424365,Node 177
n178,34.0701778,72.6424664,Node 178
n179,34.0699572,72.6418862,Node 179
n180,34.0699155,72.6420039,Node 180
n181,34.0699449,72.6422281,Node 181
n182,34.070016,72.642357,Node 182
n183,34.0700713,72.642435,Node 183
n184,34.070064,72.6424541,Node 184
n185,34.0699278,72.6427175,Node 185
n186,34.069885,72.6426972,Node 186
n187,34.0697803,72.6427296,Node 187
n188,34.0711756,72.6437992,Node 188
n189,34.0712029,72.6439354,Node 189
n190,34.071257,72.6439205,Node 190
n191,34.0712877,72.6442221,Node 191
n192,34.0713344,72.6446808,Node 192
n193,34.0713607,72.6450618,Node 193
n194,34.0714471,72.6451227,Node 194
n195,34.0697381,72.6472292,Node 195
n196,34.0694808,72.6472789,Node 196
n197,34.0695676,72.6474836,Node 197
n198,34.069519,72.6462269,Node 198
n199,34.0694695,72.6461858,Node 199
n200,34.0694626,72.6462032,Node 200
n201,34.0694521,72.6462294,Node 201
n202,34.0693326,72.6461582,Node 202
n203,34.0693582,72.6461143,Node 203
n204,34.0714274,72.644175,Node 204
n205,34.0715642,72.6441257,Node 205
n206,34.0715874,72.6442179,Node 206
n207,34.0716816,72.6441664,Node 207
n208,34.0717278,72.6443831,Node 208
n209,34.0717935,72.6443488,Node 209
n210,34.07187,72.6443188,Node 210
n211,34.0688487,72.646629,Node 211
n212,34.0697281,72.6431637,Node 212
n213,34.0696893,72.6429536,Node 213
n214,34.0696691,72.6428993,Node 214
n215,34.0696449,72.6428657,Node 215
n216,34.0696141,72.6428128,Node 216
n217,34.0696114,72.6427587,Node 217
n218,34.0696227,72.642723,Node 218
n219,34.0696442,72.6426937,Node 219
n220,34.0696784,72.6426736,Node 220
n221,34.0697167,72.6426723,Node 221
n222,34.0697543,72.6426923,Node 222
n223,34.0697901,72.642785,Node 223
n224,34.069779,72.6428307,Node 224
n225,34.0697662,72.6428719,Node 225
n226,34.0697648,72.6429165,Node 226
n227,34.0697968,72.6431124,Node 227
n228,34.0703842,72.6474222,Node 228
n229,34.0704133,72.6474872,Node 229
n230,34.0705724,72.6475681,Node 230
n231,34.0706557,72.6476379,Node 231
n232,34.0710837,72.6481713,Node 232
n233,34.0715922,72.6488049,Node 233
n234,34.0716066,72.6488556,Node 234
n235,34.0715977,72.6488999,Node 235
n236,34.0714189,72.6491272,Node 236
n237,34.0713885,72.6491445,Node 237
n238,34.0713576,72.6491328,Node 238
n239,34.0708546,72.6485277,Node 239
n240,34.0708434,72.648476,Node 240
n241,34.0708567,72.648438,Node 241
n242,34.07315806996222,72.64327905107072,Node 242
n243,34.07329356839101,72.64327028776077,Node 243
n244,34.07340003129096,72.64309502156229,Node 244
n245,34.07345326268991,72.64286133329796,Node 245
n246,34.07342422738523,72.64254001193433,Node 246
n247,34.07370041907542,72.64243291089761,Node 247
n248,34.07017421616041,72.64246442675486,Node 248
n249,34.069595204319214,72.64134980923524,Node 249
n250,34.069948892353565,72.63942133834323,Node 250
n251,34.07024911907939,72.63936442388356,Node 251
n252,34.069947326443184,72.63939342153836,Node 252
n253,34.06967048011869,72.63942089467812,Node 253
n254,34.07001250950742,72.64027407334405,Node 254
n255,34.07029824545059,72.64019097638825,Node 255
n256,34.070012123597465,72.64027325793171,Node 256
n257,34.06975697344562,72.64023982674621,Node 257
n258,34.07007909999051,72.64114187010821,Node 258
n259,34.07031836955906,72.64110335675068,Node 259
n260,34.06960059502373,72.64073259255991,Node 260
n261,34.06962109768348,72.64100485331369,Node 261
n262,34.07006187733016,72.64269524330837,Node 262
n263,34.07030137045568,72.64287316330541,Node 263
n264,34.070098722469965,72.64336522329907,Node 264
n265,34.07029906764009,72.6428926233065,Node 265
n266,34.07039348330191,72.64358484236047,Node 266
n267,34.070586919352806,72.64309278236675,Node 267
n268,34.07030156029752,72.6428729988045,Node 268
n269,34.07058464235949,72.6430988198131,Node 269
n270,34.070029473086166,72.64501783197451,Node 270
n271,34.0695350926343,72.64595755791842,Node 271
n272,34.07099796601719,72.64366648207374,Node 272
n273,34.07122798827257,72.64359916336707,Node 273
n274,34.07251537133621,72.64584721476095,Node 274
n275,34.07232249765693,72.64601062126033,Node 275
n276,34.071955171651396,72.64692885957209,Node 276
n277,34.07211961380011,72.646564910808,Node 277
n278,34.07162394993949,72.64592450157502,Node 278
n279,34.07187031615696,72.64647859183086,Node 279
n280,34.071670199885375,72.64725123675481,Node 280
n281,34.071446153055064,72.64665104295793,Node 281
n282,34.07130511684683,72.6469778953647,Node 282
n283,34.071448067444294,72.6466487501674,Node 283
n284,34.07130584596746,72.64696911043396,Node 284
n285,34.07099368880988,72.64729029514507,Node 285
n286,34.07038315492001,72.64736997137535,Node 286
n287,34.070294084985164,72.64736995244058,Node 287
n288,34.070383915636285,72.64736748005933,Node 288
n289,34.07049507422782,72.64740109928309,Node 289
n290,34.069390361776115,72.647030313398,Node 290
n291,34.06919174296088,72.64724998225219,Node 291
n292,34.06882340445411,72.64538598844291,Node 292
n293,34.06891688154646,72.64591620018433,Node 293
n294,34.0686216195043,72.64599732697295,Node 294
n295,34.06878896214093,72.64520770624051,Node 295
n296,34.068316381154645,72.64518109590477,Node 296
n297,34.068320311528936,72.64440988565798,Node 297
n298,34.06846949183672,72.64511711744433,Node 298
n299,34.06832195678054,72.64431439640896,Node 299
n300,34.068174555805214,72.6436979941042,Node 300
n301,34.06852593751309,72.64372518837584,Node 301
n302,34.06819946137746,72.64376558024895,Node 302
p1,34.0700706144584,72.63937304874494,Hostel 6
p2,34.070133496626596,72.64023519562647,Hostel 5
p3,34.06985052650475,72.64023519562647,Hostel 3
p4,34.0697921357271,72.63938931566756,Hostel 4
p5,34.06894267172362,72.63947239578445,Hostel 2
p6,34.06900475194948,72.640352978262,Hostel 1
p7,34.06878229759691,72.63947864104992,Hostel 10
p8,34.06885472465932,72.64029052560326,Hostel 9
p9,34.068156899981844,72.63958272937384,Sports Complex
p10,34.068757768995184,72.6416033772748,Ground
p11,34.06808715585554,72.640457042751,Hard Court
p12,34.068199819234096,72.64267847066964,Tennis Court
p13,34.06817835740772,72.64352040198426,Administration
p14,34.06904210516646,72.64328724867792,Faculty of Electronics Engineering and Computer Sciences
p15,34.069589319719455,72.64223806114808,Faculty of Engineering Sciences
p16,34.06995949225855,72.64114353839503,Central Mess
p17,34.06949275269538,72.64112410899602,Student Mosque
p18,34.06992729780201,72.64396079821728,Auditorium
p19,34.0693693549362,72.6449775973563,Faculty of Mechanical Engineering 
p20,34.070200903078856,72.64566410222159,Faculty of Material and Chemical Engineering 
p21,34.0704906012847,72.64306703710622,Academic Block
p22,34.07132750191947,72.6435851544052,Library
p23,34.07161183166454,72.64491930645002,Brabers Building 
p24,34.07144552513671,72.64664204327536,Medical Center
p25,34.07089494996565,72.64736851505796,Ayan Gardens
p26,34.070790794671694,72.64740875152086,Hot n Spicy
p27,34.07062831215768,72.64743892886844,Raju Restaurnant
p28,34.07051582408023,72.64745401754223,Asrar Bucks
p29,34.07046582918427,72.64745653285951,General Store
p30,34.07035750697841,72.64745150196524,Fruit Shop
